-0.186457	3.62411	0	0	-0.186457	3.62411	-0.0821	3.4438	-0.2181	0.9759
-0.604184	4.53245	-0.496089	0.629814	-0.699769	4.52279	-0.3583	4.1923	-0.454	0.891
-0.864726	4.77587	-0.481719	0.720316	-0.821193	4.51015	-0.8119	4.8487	-0.6613	0.7501
-1.61099	5.5185	-1.12868	0.870206	-1.66999	5.64558	-1.4146	5.3717	-0.8271	0.5621
-2.3392	5.75751	-0.922484	0.129129	-2.25723	5.55911	-2.1283	5.7283	-0.9409	0.3387
-3.09819	5.68223	-1.09211	-0.000989587	-3.01506	5.53475	-2.9084	5.8963	-0.9956	0.0941
-3.54552	5.77486	-0.349588	0.209269	-3.50143	5.70581	-3.7057	5.8649	-0.9877	-0.1564
-4.59513	5.97442	-1.55035	-0.249307	-4.89558	6.25344	-4.4701	5.6363	-0.9178	-0.3971
-5.3525	5.48904	-0.97316	-0.719151	-5.16508	5.29156	-5.1537	5.2248	-0.7902	-0.6129
-5.42928	4.8737	-0.270732	-0.438653	-5.03513	4.51594	-5.7134	4.6562	-0.6129	-0.7901
-5.92192	3.94168	-0.963608	-1.27181	-5.74116	3.82073	-6.1142	3.9662	-0.3972	-0.9177
-6.33352	3.11865	-0.433423	-0.948341	-6.24029	3.07073	-6.3308	3.1983	-0.1564	-0.9877
-6.11371	2.6049	0.268323	-0.369474	-5.80174	2.46452	-6.3496	2.4006	0.0941	-0.9956
-5.98336	1.84319	0.146641	-1.22707	-5.96224	1.83319	-6.1694	1.6233	0.3387	-0.9409
-5.65841	0.915134	0.793068	-1.13557	-5.73164	0.923749	-5.8016	0.9152	0.5621	-0.8271
-5.22004	0.219523	0.631711	-0.714605	-5.38148	0.234742	-5.2693	0.3208	0.7501	-0.6613
-4.79255	-0.183303	0.928202	-0.350898	-5.03876	-0.191528	-4.6058	-0.1224	0.891	-0.454
-3.91875	-0.578643	1.0245	-0.594429	-3.8051	-0.55872	-3.853	-0.3868	0.9759	-0.2182
-3.0263	-0.314889	0.925164	0.759932	-2.76398	-0.331576	-3.0581	-0.4557	0.9995	0.0314
-2.38254	-0.422732	0.5202	-0.706455	-2.21698	-0.419919	-2.271	-0.3247	0.9603	0.279
-2.11231	0.100227	0.0363151	1.57715	-1.76784	0.0139791	-1.5412	-0.002	0.8608	0.509
-1.33142	0.701456	0.796453	0.651581	-0.793425	0.453329	-0.9146	0.4919	0.7071	0.7071
-0.454292	1.26537	1.25251	0.866159	-0.428253	1.162	-0.4305	1.1262	0.5091	0.8607
-0.0581771	2.27456	-0.140211	1.40903	-0.130374	2.2927	-0.1194	1.861	0.279	0.9603
0.115476	3.04509	0.472902	1.09989	0.080226	2.74703	-0.0008	2.65	0.0314	0.9995
0.158525	3.68347	-0.215112	0.782891	0.168361	3.52718	0.0603	3.446	0.1874	0.9823
0.230875	4.32534	0.302916	0.75142	0.236833	4.35757	0.3128	4.2029	0.4258	0.9048
1.04744	5.12967	1.37345	0.598305	1.1507	5.4201	0.7456	4.8732	0.6374	0.7705
1.55337	5.60848	0.265967	0.71739	1.52584	5.49198	1.3315	5.4148	0.809	0.5878
2.17728	5.82943	1.06463	0.235833	2.11593	5.6835	2.0337	5.7937	0.9298	0.3681
2.75802	5.97881	1.01947	0.704808	2.6002	5.64283	2.8081	5.9861	0.9921	0.1253
3.70545	6.21306	1.07443	-0.280992	3.78136	6.33415	3.606	5.9798	0.9921	-0.1254
4.55342	5.77761	1.27517	-0.497308	4.43236	5.62696	4.3772	5.7753	0.9298	-0.3681
5.20078	5.54896	0.62727	-0.192543	5.15891	5.51117	5.0734	5.3854	0.809	-0.5878
5.90899	5.05022	0.875861	-0.933415	5.95583	5.07792	5.6508	4.8347	0.6374	-0.7705
6.19035	4.39964	0.503507	-0.679244	5.97521	4.24774	6.073	4.1576	0.4258	-0.9048
6.5137	3.81662	0.565706	-0.620876	6.37847	3.7424	6.3136	3.3969	0.1874	-0.9823
6.55298	2.47676	0.190389	-2.04835	6.09948	2.34964	6.3574	2.6002	-0.0628	-0.998
6.42014	1.95751	-0.393261	0.0236048	6.39039	1.95929	6.2018	1.8176	-0.309	-0.9511
6.03473	1.2053	-0.287883	-1.19095	5.83104	1.18383	5.8564	1.0983	-0.5358	-0.8443
5.08621	0.397379	-0.784096	-1.29126	4.55672	0.34148	5.343	0.4875	-0.729	-0.6845
4.46192	0.147299	-0.769806	0.192537	4.37427	0.142652	4.6938	0.0236	-0.8763	-0.4817
4.08224	-0.0732914	-0.452036	-0.628687	4.19945	-0.102487	3.9496	-0.2643	-0.9686	-0.2487
3.13301	-0.425488	-1.23493	-0.519105	2.81409	-0.389394	3.1572	-0.358	-1	0
2.55999	-0.449858	-0.288141	0.257735	2.5261	-0.379199	2.3664	-0.2518	-0.9686	0.2487
1.91121	0.100117	-0.740137	1.00167	1.59765	0.0377117	1.6269	0.0477	-0.8763	0.4818
1.00923	0.559345	-1.61763	0.145079	1.05145	0.619739	0.9851	0.5218	-0.729	0.6845
0.120922	1.2461	-0.720252	1.51731	0.434771	0.98895	0.4813	1.1405	-0.5358	0.8443
0.305148	2.27986	0.975116	1.12047	0.222816	2.13068	0.1473	1.8652	-0.309	0.9511
0.168729	3.27055	-1.16385	0.998397	0.198656	3.31826	0.0039	2.6501	-0.0628	0.998
